yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2011,12,31,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,3.3,1.1,85,140,5,,29.97,1015.2,,,,,,6,3,,,,,100,12,2012,01,01,00
2012,01,01,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,3.3,1.1,85,130,6,,29.96,1014.7,,,,,,,,,,,,100,12,2012,01,01,01
2012,01,01,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,3.3,1.1,85,150,3,,29.95,1014.6,,,,,,,,,,,,100,12,2012,01,01,02
2012,01,01,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,4.4,1.7,82,160,8,,29.91,1013.2,,,,,,,,,,,,100,14,2012,01,01,03
2012,01,01,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,3.9,1.7,85,170,5,,29.89,1012.4,,,,,,,,,,,,100,14,2012,01,01,04
2012,01,01,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,040,9999,,,,5.0,2.2,82,160,6,,29.86,1011.3,,5.6,3.3,,,,,,,,,100,14,2012,01,01,05
2012,01,01,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,049,9999,,,,6.1,2.2,76,160,9,,29.82,1010.1,,,,,,6,3,,,,,100,14,2012,01,01,06
2012,01,01,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,044,9999,,,,6.7,2.2,73,150,9,,29.78,1008.7,,,,,,,,,,,,100,14,2012,01,01,07
2012,01,01,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,035,9999,,,,7.8,2.2,67,150,7,,29.75,1007.6,,,,,,,,,,,,100,14,2012,01,01,08
2012,01,01,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,9999,,,,11.7,3.9,58,200,11,22,29.72,1006.5,,,,,,,,,,,,100,14,2012,01,01,09
2012,01,01,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,11.7,4.4,61,210,14,24,29.70,1005.9,,,,,,,,,,,,100,14,2012,01,01,10
2012,01,01,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,045,9999,,,,11.7,5.6,66,230,17,30,29.70,1005.8,,,,,,,,,,,,100,14,2012,01,01,11
2012,01,01,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,036,9999,,,,11.7,6.1,68,230,14,22,29.72,1006.4,,,,,,12,6,,,,,100,12,2012,01,01,12
2012,01,01,12,07,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,028,9999,,,,12,6,66,250,14,32,29.72,,,,,,,,,,,,,100,13,2012,01,01,12
2012,01,01,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,032,9999,,,,10.0,5.0,71,260,15,34,29.76,1007.9,,,,,,,,,,,,100,12,2012,01,01,13
2012,01,01,13,27,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,9999,,,,7,2,70,290,16,33,29.82,,,,,,,,,,,,,100,13,2012,01,01,13
2012,01,01,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,9999,,,,6.1,1.1,70,280,19,37,29.85,1011.2,,,,,,,,,,,,100,12,2012,01,01,14
2012,01,01,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,020,9999,61,,,5.0,2.2,82,270,14,29,29.89,1012.7,,,,,,,,,,0.0,0.0,100,12,2012,01,01,15
2012,01,01,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,023,9999,,,,5.0,0.6,73,280,17,28,29.93,1013.8,,,,,,,,,,,0.0,100,12,2012,01,01,16
2012,01,01,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,019,9999,,,,4.4,0.6,76,290,12,29,29.97,1015.2,,,,,,,,,,,,100,12,2012,01,01,17
2012,01,01,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,021,9999,,,,4.4,-0.6,69,280,17,33,29.99,1015.7,,,,,,12,4,,,0.0,,100,12,2012,01,01,18
2012,01,01,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,033,9999,,,,5.6,-1.7,58,280,16,30,30.00,1016.3,,,,,,,,,,,,100,12,2012,01,01,19
2012,01,01,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,9999,,,,5.6,-4.4,46,280,19,39,30.03,1017.2,,,,,,,,,,,,100,12,2012,01,01,20
2012,01,01,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,5.6,-5.6,42,290,13,28,30.06,1018.0,,,,,,,,,,,,100,12,2012,01,01,21
2012,01,01,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,5.0,-8.9,33,280,13,33,30.09,1018.9,,,,,,,,,,,,100,12,2012,01,01,22
2012,01,01,22,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,3,,9999,,,,3.9,-10.6,30,300,21,37,30.12,1020.2,,,,,,,,,,,,100,12,2012,01,01,23
2012,01,01,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,075,9999,,,,2.2,-8.3,42,300,11,25,30.16,1021.6,,,,,,6,2,,,,,100,12,2012,01,02,00
2012,01,02,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,9999,,,,1.7,-8.9,41,290,10,26,30.19,1022.5,,,,,,,,,,,,100,12,2012,01,02,01
