yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2014,01,02,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,050,9999,,,,1.1,-2.2,77,0,0,,30.00,1016.2,,7.2,-1.7,,,,,,,,,100,14,2014,01,02,05
2014,01,02,05,21,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,022,9999,71,,,2.2,-1.1,78,210,7,,30.00,,,,,,,,,,,,0.0,100,13,2014,01,02,05
2014,01,02,05,46,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,018,0000,71,,,1.1,-0.6,88,240,3,,30.00,,,,,,,,,,,,0.5,100,13,2014,01,02,06
2014,01,02,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,018,0000,71,,,1.1,-0.6,88,0,0,,29.99,1015.9,,,,,,4,1,,,0.8,0.8,100,14,2014,01,02,06
2014,01,02,06,01,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0000,71,,,0.6,-0.6,91,0,0,,29.99,,,,,,,,,,,,0.0,100,13,2014,01,02,06
2014,01,02,06,11,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,014,0000,71,,,0.6,-0.6,91,0,0,,29.98,,,,,,,,,,,,0.3,100,13,2014,01,02,06
2014,01,02,06,31,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,016,0000,71,,,0.6,-0.6,91,30,4,,29.97,,,,,,,,,,,,0.8,100,13,2014,01,02,07
2014,01,02,06,48,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,019,3200,71,,,1,0,93,0,0,,29.96,,,,,,,,,,,,1.3,100,13,2014,01,02,07
2014,01,02,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,019,0000,71,,,0.6,0.0,96,0,0,,29.96,1014.7,,,,,,,,,,,1.3,100,14,2014,01,02,07
2014,01,02,07,01,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,012,1200,71,,,0.6,0.0,96,0,0,,29.95,,,,,,,,,,,,0.5,100,13,2014,01,02,07
