yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2013,01,01,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,10,,,-1.7,-2.8,91,360,8,,30.05,1018.4,,,,,,,,,,,,100,12,2013,01,01,14
2013,01,01,14,05,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,10,,,-2,-3,92,360,7,,30.08,,,,,,,,,,,,,100,13,2013,01,01,14
2013,01,01,14,18,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,6000,10,,,-2,-4,84,10,8,,30.09,,,,,,,,,,,,,100,13,2013,01,01,14
2013,01,01,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,4800,10,,,-2.2,-4.4,83,360,9,,30.10,1020.2,,,,,,,,,,,,100,12,2013,01,01,15
2013,01,01,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,4800,05,,,-2.2,-5.0,79,350,8,,30.12,1020.7,,,,,,,,,,,,100,12,2013,01,01,16
2013,01,01,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,0000,05,,,-2.2,-5.0,79,20,4,,30.12,1020.8,,,,,,,,,,,,100,12,2013,01,01,17
2013,01,01,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,4800,10,,,-2.2,-4.4,83,40,3,,30.10,1019.9,,,,,,-1,-3,,,,,100,12,2013,01,01,18
2013,01,01,18,19,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,0000,10,,,-2,-4,84,350,5,,30.10,,,,,,,,,,,,,100,13,2013,01,01,18
2013,01,01,18,29,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,4800,05,,,-2,-5,77,350,5,,30.10,,,,,,,,,,,,,100,13,2013,01,01,18
2013,01,01,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,008,4800,10,,,-2.2,-4.4,83,350,5,,30.10,1020.1,,,,,,,,,,,,100,12,2013,01,01,19
2013,01,01,19,02,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,010,4800,10,,,-2,-4,84,350,3,,30.10,,,,,,,,,,,,,100,13,2013,01,01,19
2013,01,01,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,014,6000,05,,,-1.7,-5.0,76,360,3,,30.10,1019.8,,,,,,,,,,,,100,12,2013,01,01,20
2013,01,01,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,014,6000,05,,,-2.2,-5.0,79,350,6,,30.08,1019.5,,,,,,,,,,,,100,12,2013,01,01,21
2013,01,01,21,29,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,016,6000,05,,,-2,-6,71,330,4,,30.10,,,,,,,,,,,,,100,13,2013,01,01,21
2013,01,01,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,018,6000,05,,,-2.2,-5.6,75,350,4,,30.10,1019.9,,,,,,,,,,,,100,12,2013,01,01,22
2013,01,01,22,20,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,075,8000,05,,,-3,-6,77,350,4,,30.10,,,,,,,,,,,,,100,13,2013,01,01,22
2013,01,01,22,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,075,9999,,,,-2.8,-6.1,75,350,4,,30.10,1020.2,,,,,,,,,,,,100,12,2013,01,01,23
2013,01,01,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,080,9999,,,,-3.3,-6.1,79,360,7,,30.10,1020.2,,,,,,-2,-3,,,,,100,12,2013,01,02,00
2013,01,02,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,085,9999,,,,-3.9,-6.7,79,0,0,,30.13,1021.3,,,,,,,,,,,,100,12,2013,01,02,01
2013,01,02,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,085,9999,,,,-3.9,-7.2,75,350,4,,30.15,1021.8,,,,,,,,,,,,100,12,2013,01,02,02
2013,01,02,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,065,9999,,,,-4.4,-7.8,74,350,3,,30.15,1022.0,,,,,,,,,,,,100,14,2013,01,02,03
2013,01,02,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,080,9999,,,,-5.0,-8.3,75,340,3,,30.16,1022.1,,,,,,,,,,,,100,14,2013,01,02,04
2013,01,02,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-6.1,-8.9,78,340,3,,30.17,1022.5,,0.0,-6.7,,,,,,,,,100,14,2013,01,02,05
2013,01,02,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-8.3,-10.6,82,10,3,,30.16,1022.4,,,,,,-3,-8,,,,,100,14,2013,01,02,06
2013,01,02,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,10,,,-9.4,-11.1,86,0,0,,30.16,1022.5,,,,,,,,,,,,100,14,2013,01,02,07
2013,01,02,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-11.1,-12.8,86,0,0,,30.18,1022.9,,,,,,,,,,,,100,14,2013,01,02,08
2013,01,02,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-10.0,-12.8,78,0,0,,30.19,1023.3,,,,,,,,,,,,100,14,2013,01,02,09
2013,01,02,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,6000,10,,,-12.8,-15.0,82,0,0,,30.19,1023.4,,,,,,,,,,,,100,14,2013,01,02,10
2013,01,02,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,10,,,-13.3,-15.6,81,0,0,,30.17,1023.1,,,,,,,,,,,,100,14,2013,01,02,11
2013,01,02,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,05,,,-13.9,-16.7,77,0,0,,30.19,1023.5,,,,,,-8,-14,,,,,100,12,2013,01,02,12
2013,01,02,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-16.1,-18.3,81,0,0,,30.20,1024.2,,,,,,,,,,,,100,12,2013,01,02,13
2013,01,02,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,8000,10,,,-17.2,-18.9,85,0,0,,30.22,1025.0,,,,,,,,,,,,100,12,2013,01,02,14
2013,01,02,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-12.8,-14.4,86,0,0,,30.24,1025.2,,,,,,,,,,,,100,12,2013,01,02,15
2013,01,02,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-10.6,-11.7,91,0,0,,30.24,1025.5,,,,,,,,,,,,100,12,2013,01,02,16
2013,01,02,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-7.2,-11.7,67,0,0,,30.24,1025.1,,,,,,,,,,,,100,12,2013,01,02,17
2013,01,02,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-5.6,-12.2,56,0,0,,30.20,1024.0,,,,,,-6,-17,,,,,100,12,2013,01,02,18
2013,01,02,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-5.0,-13.3,48,0,0,,30.19,1023.5,,,,,,,,,,,,100,12,2013,01,02,19
2013,01,02,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-4.4,-13.3,46,0,0,,30.18,1023.3,,,,,,,,,,,,100,12,2013,01,02,20
2013,01,02,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-5.0,-12.8,50,180,3,,30.18,1023.2,,,,,,,,,,,,100,12,2013,01,02,21
2013,01,02,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-5.0,-13.3,48,230,4,,30.19,1023.7,,,,,,,,,,,,100,12,2013,01,02,22
2013,01,02,22,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-6.1,-11.7,61,230,3,,30.20,1024.1,,,,,,,,,,,,100,12,2013,01,02,23
2013,01,02,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-9.4,-13.3,70,0,0,,30.21,1024.6,,,,,,-4,-9,,,,,100,12,2013,01,03,00
2013,01,03,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-10.0,-13.3,74,0,0,,30.21,1024.7,,,,,,,,,,,,100,12,2013,01,03,01
2013,01,03,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-10.0,-12.8,78,0,0,,30.21,1024.8,,,,,,,,,,,,100,12,2013,01,03,02
2013,01,03,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-12.8,-14.4,86,0,0,,30.21,1024.7,,,,,,,,,,,,100,14,2013,01,03,03
2013,01,03,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-11.7,-15.0,74,0,0,,30.20,1024.3,,,,,,,,,,,,100,14,2013,01,03,04
2013,01,03,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-12.2,-15.0,77,0,0,,30.21,1024.6,,-3.9,-17.2,,,,,,,,,100,14,2013,01,03,05
2013,01,03,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-14.4,-17.2,77,0,0,,30.21,1024.3,,,,,,-7,-14,,,,,100,14,2013,01,03,06
2013,01,03,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-14.4,-17.2,77,0,0,,30.19,1023.9,,,,,,,,,,,,100,14,2013,01,03,07
2013,01,03,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-15.6,-18.3,78,0,0,,30.19,1023.7,,,,,,,,,,,,100,14,2013,01,03,08
2013,01,03,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-14.4,-17.8,73,0,0,,30.19,1023.8,,,,,,,,,,,,100,14,2013,01,03,09
2013,01,03,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-13.3,-17.8,66,0,0,,30.21,1024.3,,,,,,,,,,,,100,14,2013,01,03,10
2013,01,03,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-10.0,-15.6,60,230,6,,30.21,1024.1,,,,,,,,,,,,100,14,2013,01,03,11
2013,01,03,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-8.9,-15.0,58,240,7,,30.21,1024.4,,,,,,-9,-16,,,,,100,12,2013,01,03,12
2013,01,03,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-9.4,-14.4,64,240,5,,30.23,1024.9,,,,,,,,,,,,100,12,2013,01,03,13
2013,01,03,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-7.8,-13.3,61,240,5,,30.23,1025.0,,,,,,,,,,,,100,12,2013,01,03,14
2013,01,03,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-6.1,-11.7,61,260,7,,30.25,1025.7,,,,,,,,,,,,100,12,2013,01,03,15
